feature,importance,target
alt_v21,0,risk_death
ast_v9,0,risk_death
ast_v14,0,risk_death
ast_v15,0,risk_death
ast_v16,0,risk_death
ast_v17,0,risk_death
ast_v18,0,risk_death
ast_v19,0,risk_death
ast_v20,0,risk_death
ast_v21,0,risk_death
bilirubin_v10,0,risk_death
bilirubin_v11,0,risk_death
bilirubin_v13,0,risk_death
bilirubin_v14,0,risk_death
bilirubin_v16,0,risk_death
bilirubin_v17,0,risk_death
bilirubin_v18,0,risk_death
bilirubin_v19,0,risk_death
bilirubin_v20,0,risk_death
bilirubin_v21,0,risk_death
chol_v9,0,risk_death
chol_v10,0,risk_death
chol_v13,0,risk_death
chol_v14,0,risk_death
chol_v15,0,risk_death
chol_v16,0,risk_death
chol_v17,0,risk_death
chol_v18,0,risk_death
chol_v19,0,risk_death
chol_v20,0,risk_death
chol_v21,0,risk_death
ggt_v10,0,risk_death
ggt_v11,0,risk_death
ggt_v13,0,risk_death
ggt_v15,0,risk_death
ggt_v16,0,risk_death
ggt_v17,0,risk_death
ggt_v18,0,risk_death
ggt_v19,0,risk_death
ggt_v20,0,risk_death
ggt_v21,0,risk_death
gluc_fast_v10,0,risk_death
gluc_fast_v14,0,risk_death
gluc_fast_v15,0,risk_death
gluc_fast_v16,0,risk_death
gluc_fast_v17,0,risk_death
gluc_fast_v18,0,risk_death
gluc_fast_v19,0,risk_death
gluc_fast_v20,0,risk_death
gluc_fast_v21,0,risk_death
plt_v9,0,risk_death
plt_v10,0,risk_death
plt_v11,0,risk_death
plt_v13,0,risk_death
plt_v14,0,risk_death
plt_v15,0,risk_death
plt_v16,0,risk_death
plt_v17,0,risk_death
plt_v18,0,risk_death
plt_v19,0,risk_death
plt_v20,0,risk_death
plt_v21,0,risk_death
triglyc_v11,0,risk_death
triglyc_v13,0,risk_death
triglyc_v14,0,risk_death
triglyc_v16,0,risk_death
triglyc_v17,0,risk_death
triglyc_v18,0,risk_death
triglyc_v19,0,risk_death
triglyc_v20,0,risk_death
triglyc_v21,0,risk_death
aixp_aix_result_BM_3_v7,0,risk_death
aixp_aix_result_BM_3_v9,0,risk_death
aixp_aix_result_BM_3_v10,0,risk_death
aixp_aix_result_BM_3_v13,0,risk_death
aixp_aix_result_BM_3_v14,0,risk_death
aixp_aix_result_BM_3_v15,0,risk_death
aixp_aix_result_BM_3_v16,0,risk_death
aixp_aix_result_BM_3_v17,0,risk_death
aixp_aix_result_BM_3_v18,0,risk_death
aixp_aix_result_BM_3_v19,0,risk_death
aixp_aix_result_BM_3_v20,0,risk_death
aixp_aix_result_BM_3_v21,0,risk_death
fibrotest_BM_2_v10,0,risk_death
fibrotest_BM_2_v11,0,risk_death
fibrotest_BM_2_v12,0,risk_death
fibrotest_BM_2_v13,0,risk_death
fibrotest_BM_2_v14,0,risk_death
fibrotest_BM_2_v15,0,risk_death
fibrotest_BM_2_v16,0,risk_death
fibrotest_BM_2_v17,0,risk_death
fibrotest_BM_2_v18,0,risk_death
fibrotest_BM_2_v19,0,risk_death
fibrotest_BM_2_v20,0,risk_death
fibrotest_BM_2_v21,0,risk_death
fibs_stiffness_med_BM_1_v14,0,risk_death
fibs_stiffness_med_BM_1_v15,0,risk_death
fibs_stiffness_med_BM_1_v16,0,risk_death
fibs_stiffness_med_BM_1_v17,0,risk_death
fibs_stiffness_med_BM_1_v18,0,risk_death
fibs_stiffness_med_BM_1_v19,0,risk_death
fibs_stiffness_med_BM_1_v20,0,risk_death
fibs_stiffness_med_BM_1_v21,0,risk_death
fibs_stiffness_med_BM_1_v22,0,risk_death
ast_observed_count,0,risk_death
ggt_observed_count,0,risk_death
gluc_fast_observed_count,0,risk_death
triglyc_observed_count,0,risk_death
